Siruta,Judet,Populatie,Alimentara,Textila,Lemnului,ChimicaFarmaceutica,Metalurgica,ConstructiiMasini,CalculatoareElectronica,Mobila,Energetica
32768,bn,1961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49153,bz,3397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57350,cj,4189,259.143948436381,0.0,0.0,0.0,0.0,0.0,0.0,143.19837670088327,0.0
90119,hd,887,0.0,0.0,4.126268320180383,0.0,0.0,0.0,0.0,0.0,0.0
73736,dj,10675,283.1263700234192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
147465,sv,2769,31.63416395810762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
155662,tm,323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
139287,sm,2001,0.0,0.0,8243.382308845577,0.0,0.0,0.0,0.0,0.0,0.0
114710,ms,17606,11712.631943655571,215.9009428603885,22.56605702601386,8528.073497671248,156.2916051346132,0.0,0.0,253.72446893104623,0.005225491309780756
122908,nt,5488,1736.6045918367347,0.0,35.11570699708455,0.0,318.77970116618076,0.0,0.0,0.0,0.0
131103,ph,16766,167.2199093403316,5633.8975903614455,31.449958248836932,0.0,0.0,716.5110938804723,0.0,5.742574257425742,0.0
40991,bv,785,0.0,0.0,4.522292993630574,0.0,0.0,0.0,0.0,0.0,0.0
98337,is,3536,6.770079185520362,4.619343891402715,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8229,ab,1375,0.0,0.0,1049.581818181818,0.0,0.0,0.0,0.0,0.0,0.0
16427,ag,1783,116.97644419517667,0.0,491.86763881099273,0.0,0.0,0.0,0.0,0.0,0.0
32811,bn,4316,0.0,83.09545875810936,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73772,dj,2085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
172082,vl,4013,1033.0465985546973,0.49364565163219537,2390.704958883628,0.0,0.0,0.0,0.0,25.350859705955646,0.0
49206,bz,3428,18.432613768961495,6.10997666277713,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24631,bc,8151,0.23714881609618452,0.0,34.491964176174704,0.0,0.0,0.0,0.0,0.0,0.0
163903,vs,2006,2.2347956131605184,0.0,121.27517447657029,0.0,0.0,0.0,0.0,0.0,0.0
106559,mm,44145,308.8507645259939,312.3009400838147,2095.6213840752066,0.0,0.0,199.74366292898404,0.0,7431.322052327557,156.51908483406953
139330,sm,4095,63.99389499389499,779.0537240537241,0.0,0.0,111.92722832722832,0.0,0.0,16.42148962148962,0.0
81987,gj,1733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98373,is,11035,771.0062528318985,0.0,7.191572270049841,0.0,0.0,0.0,0.0,0.0,0.0
147526,sv,4394,4421.325898953118,0.0,2435.771506599909,0.0,0.0,0.0,0.0,0.0,0.0
16454,ag,3156,49.89607097591888,0.0,460.32699619771864,0.0,0.0,0.0,0.0,0.0,0.0
65609,db,7652,284.76359121798225,65.88525875588081,27.01006272869838,0.0,0.0,282.27208572922115,0.0,7.567564035546263,0.0
122953,nt,3947,0.0,0.0,7229.15657461363,0.0,0.0,0.0,0.0,0.0,0.0
41033,bv,4806,387.22888056595923,42.95547232625884,1341.7723678734915,5.456096545984186,0.0,10.440491052850604,0.0,344.69225967540575,0.0
155724,tm,1593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,248.28248587570621
49233,bz,1363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16472,ag,2628,5305.38698630137,0.0,186.0654490106545,0.0,0.0,0.0,0.0,0.0,0.0
139358,sm,5421,122219.67625899281,3008.3737317838036,65.35104224312857,0.0,0.0,0.0,0.0,1721.3420033204206,0.0
90208,hd,1775,564.5712676056338,0.0,0.0,0.0,0.0,0.0,0.0,2105.983098591549,0.0
57449,cj,1382,7.597684515195369,0.0,206.70332850940665,0.0,0.0,0.0,0.0,0.2337192474674385,0.0
65645,db,2091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
155760,tm,3166,1504.5726468730259,0.0,0.0,0.0,0.0,0.0,82.89545167403664,822.717624763108,0.0
32884,bn,2895,18635.775474956823,0.0,4144.116753022453,0.0,0.0,0.0,0.0,0.0,0.0
114809,ms,38237,987.3736694824385,2762.9247848942123,15567.462143996652,0.62876271674033,24.57433899102963,2022.3542641943668,4.568533096215707,3670.333263592855,0.0
16506,ag,1955,33.08849104859335,0.0,38.50843989769821,0.0,0.0,0.0,0.0,0.0,0.0
172153,vl,2270,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73852,dj,1344,753.3154761904761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
106620,mm,2754,635.2091503267974,0.0,1694.0018155410312,0.0,0.0,0.0,0.0,0.0,0.0
163967,vs,2808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82047,gj,3326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
147580,sv,2982,156.30147551978538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41088,bv,6203,1504.4501047880058,16166.315331291311,1075.57585039497,0.0,0.0,2008.0580364339835,0.0,526.5866516201838,0.0
139394,sm,3800,107.67868421052631,34.75078947368421,5.910526315789474,0.0,0.0,0.0,0.0,0.0,0.0
98435,is,5573,2.237394581015611,0.0,0.0,486.5162390095101,0.0,0.0,0.0,0.0,0.0
123013,nt,4847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24711,bc,3578,0.0,270.6880939072107,0.0,0.0,0.0,0.0,0.0,0.0,0.0
131210,ph,9907,106.69405470879177,0.5883718582820228,4.497123246189563,0.05248813969920258,0.0,0.0,0.0,20.271828000403755,347.00908448571715
65681,db,15346,1986.959598592467,1096.1200964420696,121.6257656718363,110.61449237586342,0.0,0.0,0.0,508.5511533950215,0.0
90262,hd,1005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
155797,tm,2599,268.40207772220083,345.27395151981534,705.7133512889573,0.0,0.0,0.0,0.0,0.0,0.0
41113,bv,2259,63.9269588313413,0.0,2170.82425852147,0.0,0.0,0.0,0.0,0.0,0.0
106648,mm,2879,66.94129906217437,0.0,140.9562348037513,0.0,0.0,0.0,0.0,3771.3296283431746,0.0
49313,bz,2823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.139213602550479,0.0
8354,ab,3138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16551,ag,3004,342.89513981358186,0.0,168.67676431424766,0.0,0.0,504.3422103861518,0.0,0.0,0.0
114854,ms,10557,629.2381358340438,87.86407123235767,3634.6977360992705,0.0,0.0,0.0,0.0,6083.2794354456755,0.0
65707,db,2220,0.0,0.0,505.1121621621622,0.0,0.0,140.80180180180182,0.0,0.0,0.0
73905,dj,3565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
147633,sv,9471,0.0,0.0,1431.8472178228276,0.0,0.0,0.0,0.0,0.0,0.0
131256,ph,37574,2451.949166977165,896.3649065843402,296.2926225581519,14.229280885718849,331.64299781763987,36128.03071272688,324.3991057646245,2743.6228509075427,765.7919572044499
32955,bn,1571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
106684,mm,17091,6580.366274647476,171.4155988531976,363.23807852085895,0.0,10.554092797378738,0.0,0.0,24.259200748932187,230.62102861154995
24766,bc,8379,207.29263635278673,0.0,1.8368540398615587,0.0,34.865855113975414,31.765723833393007,0.0,0.0,0.0
73923,dj,2294,965.7920662598082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
155840,tm,2803,0.0,4.701748127006779,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98505,is,8287,81.13322070713166,3.5363822855074214,0.0,0.0,217.29950524918547,0.0,0.0,0.0,0.0
131274,ph,5099,0.0,0.0,9.50656991566974,0.0,123.56520886448324,696.7519121396352,0.0,0.0,0.0
57546,cj,1445,20.432525951557093,0.0,43.705882352941174,0.0,0.0,0.0,0.0,0.0,0.0
147660,sv,2907,210.08771929824562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41177,bv,5225,77.2155023923445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65752,db,5623,0.0,1.7051396051929575,0.0,0.0,0.0,0.0,0.0,241.91054597190112,0.0
82136,gj,2231,199.90273419991036,0.0,0.0,1.994621246077992,0.0,0.0,0.0,0.0,0.0
164062,vs,2573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
123102,nt,5793,81.2385637838771,91.5506645952011,0.0,0.0,0.0,51.79026411185914,0.0,0.0,0.0
16613,ag,2286,0.0,5.707349081364829,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90342,hd,2158,0.0,0.0,15.583873957367933,0.0,0.0,0.0,0.0,0.0,0.0
8425,ab,1658,782.3003618817853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
114925,ms,26500,251.02090566037737,531.2693962264151,26.306792452830187,0.0,0.0,1827.5345660377359,0.0,41.765433962264154,1.371056603773585
57582,cj,3766,881.6502920870951,0.26287838555496545,52.30138077535847,0.0,0.0,0.0,4.208709506107276,747.4442379182157,228.6529474243229
172279,vl,1641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33015,bn,2940,0.0,72.4704081632653,0.0,0.0,0.0,0.0,0.0,0.0,0.0
106746,mm,29881,194.51444061443726,4.431511662929621,1048.3481811184365,0.0,0.0,0.0,0.0,164.32358354807403,0.0
147713,sv,1935,0.0,0.0,214.2186046511628,0.0,0.0,0.0,0.0,0.0,0.0
24837,bc,4909,0.0,0.0,29.569769810552046,0.0,0.0,0.0,0.0,0.0,0.0
155911,tm,4049,33.778957767349965,0.0,0.0,0.0,0.0,4846.545319832057,0.0,0.0,0.0
131336,ph,12480,593.3001602564102,106.80961538461538,255.9966346153846,0.0,69.37508012820513,23.31017628205128,0.0,0.0,0.0
73996,dj,8734,4.962674604991985,7.949851156400275,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16659,ag,2290,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
114970,ms,4813,0.0,246.57656347392478,0.0,0.0,0.0,34.72844379804695,0.0,1100.824226054436,0.0
49439,bz,2322,1368.8445305770888,0.0,0.0,0.0,0.0,46.65891472868217,0.0,0.0,0.0
106782,mm,5255,406.4138915318744,77.04814462416746,576.0420551855376,0.0,0.0,0.0,0.0,0.0,0.0
41248,bv,2590,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
123175,nt,3881,3.9778407626900285,0.0,93.1615562999227,0.0,0.0,0.0,0.0,0.0,0.0
164133,vs,3680,22.320652173913043,9.478804347826086,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98603,is,3472,0.0,0.0,53.474366359447004,0.0,0.0,0.0,0.0,0.0,0.0
57644,cj,2677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74028,dj,2162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65841,db,20524,105.53654258429157,1076.7697329955174,61.657863964139544,0.0,0.0,613.9183395049698,0.2789417267589164,41.655281621516274,0.0
172340,vl,2954,4990.643534190927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
155957,tm,1567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90431,hd,1152,0.0,5452.008680555556,0.0,0.0,0.0,0.0,0.0,0.0,0.0
106817,mm,13219,263.44784022997203,150.57523261971406,1429.2032680232999,0.0,0.0,0.0,0.0,32330.025493607685,0.0
82243,gj,2412,352.2035655058043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41284,bv,2735,71.6274223034735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
147786,sv,7389,3717.5257815671944,0.0,3236.426444715117,0.0,0.0,0.0,0.0,152.06875084585195,0.0
49484,bz,3233,0.0,0.0,254.8976183111661,0.0,0.0,0.0,0.0,0.0,0.0
65869,db,3958,0.0,0.0,4.982314300151592,0.0,0.0,0.0,0.0,0.0,0.0
131407,ph,16496,9419.214173132881,2051.6024490785644,0.47405431619786614,0.0,0.0,145.22575169738118,0.0,69.0233389912706,0.041585838991270614
74073,dj,2097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98649,is,3761,0.0,0.0,0.0,0.0,0.0,0.0,0.9316671098112205,0.0,0.0
172377,vl,3039,0.0,0.0,19.845672918723263,0.0,0.0,0.0,0.0,0.0,0.0
123228,nt,2173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33122,bn,2223,0.0,0.0,800.0787224471435,0.0,0.0,0.0,0.0,0.0,0.0
16739,ag,2199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
164197,vs,2839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57706,cj,28163,2077.2049142491924,781.4936974043958,125.6362958491638,445.98778539218125,0.0,237.5170969001882,53.93764868799489,93.20541135532436,0.14195930831232467
131443,ph,9081,2221.3914767096135,1062.6238299746724,43.74694416914437,0.0,0.0,906.4680101310429,0.0,86.04371765224094,0.0
16757,ag,5707,0.0,792.3201331697915,88.77063255650955,0.0,51.13404590853338,0.0,0.0,0.0,0.0
123255,nt,3730,0.0,0.0,63.74959785522788,0.0,0.0,0.0,0.0,0.0,0.0
98685,is,9248,101.8658088235294,50.901600346020764,10.317582179930795,0.0,0.0,0.0,0.0,0.0,0.0
74108,dj,1856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65921,db,15401,367.00201285630806,16853.441075254854,0.0,319.2306343743913,0.0,51.959288357898835,117.24160768781248,325.9044217907928,0.0
156035,tm,466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41346,bv,1809,0.0,0.0,478.5721393034826,0.0,0.0,0.0,0.0,0.0,0.0
115076,ms,5611,0.0,0.0,109.29620388522545,0.0,0.0,0.0,0.0,0.0,0.0
131461,ph,3703,0.0,0.0,2.8833378341884957,0.0,226.05995139076424,237.77585741290846,0.0,1.7418309478800973,0.0
49545,bz,6636,52.95690174804099,0.9942736588306209,30.978450874020496,0.0,0.0,0.0,0.0,13.50210970464135,0.0
82314,gj,2315,9.998272138228941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57742,cj,4085,254.9341493268054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74135,dj,975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33177,bn,2034,0.0,112.60029498525074,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41382,bv,3211,616.437558393024,0.0,0.0,0.0,0.0,0.0,27.14886328246652,5887.583307380878,0.0
24999,bc,2382,44.13518052057095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90538,hd,4278,65.00327255726975,0.0,963.2924263674614,0.0,0.0,0.0,0.0,0.0,0.0
172457,vl,4130,313.6464891041162,0.0,0.0,0.0,73.47869249394674,0.0,0.0,0.0,0.0
147884,sv,2101,0.0,0.0,102.41313660161828,0.0,0.0,0.0,0.0,0.0,0.0
33202,bn,5453,42.336878782321655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98738,is,1856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
164277,vs,2623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74171,dj,1057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
139704,sj,69857,279.04607984883404,479.78672144523813,135.18304536410096,49.48831183703852,29303.370127546274,682.031750576177,0.0,717.2182601600413,1242.4669682351089
156106,tm,2322,83.50129198966408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41417,bv,2962,402.17049291019583,20.812626603646184,30009.080351114113,0.0,0.0,0.0,0.0,0.0,0.0
115147,ms,3174,178.41493383742912,104.49968494013862,62.38216761184625,0.0,0.0,39.95746691871456,0.0,0.0,0.0
131540,ph,11540,1668.522616984402,71.57530329289428,10.289341421143847,0.0,0.0,1989.6639514731369,53.366464471403816,35.335355285961874,9.686221837088388
98774,is,6456,123.13444857496903,72.96390954151177,0.0,0.0,134.15597893432465,0.0,0.0,0.0,0.0
66009,db,4330,97.20554272517322,6.6251732101616625,820.5526558891455,0.0,0.0,0.0,0.0,10.267205542725174,0.0
49625,bz,3128,697.5290920716112,0.0,16.07320971867008,0.0,177.63650895140665,0.0,0.0,205.41943734015345,0.0
82396,gj,2758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
139740,sj,7758,1480.616267079144,6594.048079401908,8.478989430265532,0.0,0.0,133.11278680072184,0.0,5186.007347254447,0.0
172509,vl,1802,0.0,0.0,400.18201997780244,0.0,0.0,0.0,0.0,0.0,0.0
33248,bn,7964,231.30173279758915,0.0,253.6115017579106,0.0,0.0,0.0,0.0,128.46923656454044,0.0
106979,mm,18171,257.24379505805956,347.0468878982995,6257.035661218425,417.64586428925213,0.0,0.0,0.0,6.884101040118871,0.0
147937,sv,5897,1367.4386976428693,195.825334916059,0.2340172969306427,0.0,0.0,0.0,0.0,0.0,0.0
57831,cj,1554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
123371,nt,4076,933.8253189401374,0.0,4.0978900883218845,0.0,0.0,0.0,0.0,0.0,0.0
49643,bz,4601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25068,bc,10047,140.37105603662786,128.831790584254,410.50353339305263,0.0,0.0,0.0,0.0,0.0,0.0
115183,ms,3197,1.6890835157960589,9.97685329996872,149.38504848295275,0.0,0.0,0.0,0.0,0.0,0.0
74224,dj,1470,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
164339,vs,4264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
156151,tm,696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
107001,mm,2764,19618.23444283647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33275,bn,2524,535.0170364500792,0.0,9.904912836767036,0.0,0.0,0.0,0.0,0.0,0.0
131577,ph,5941,7.116142063625652,2.84766874263592,0.0,0.0,0.0,0.0,0.0,0.0,9.037704090220501
41471,bv,4672,7.515196917808219,36.1875,17.051369863013697,0.0,0.0,0.0,0.0,55.631207191780824,0.0
82430,gj,7134,0.0,182.8223997757219,702.7406784412672,0.0,0.0,0.0,0.0,0.0,0.0
74242,dj,1745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98827,is,4116,46.112730806608354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16908,ag,4640,13.757112068965517,508.7125,772.6506465517241,0.0,0.0,0.0,0.0,19.688577586206897,0.0
66081,db,10361,416.54261171701575,4804.083003571084,0.0,0.0,0.0,210.5793842293215,0.0,0.0,0.0
123424,nt,6120,0.0,866.431045751634,181.89003267973857,0.0,0.0,0.0,0.0,2.0215686274509803,0.0
139811,sj,11963,256.3065284627602,4462.186408091616,1304.516927192176,0.0,0.0,0.0,0.0,3442.256708183566,0.0
148006,sv,11465,213.05713039686,0.0,0.7034452682075883,0.0,0.0,0.0,0.0,0.0,0.0
115236,ms,1577,115.50792644261256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90663,hd,1983,0.0,0.0,1037.40494200706,0.0,0.0,0.0,0.0,0.0,0.0
107047,mm,1035,0.0,0.0,826.0222222222222,2472.400966183575,0.0,0.0,0.0,0.0,0.0
131620,ph,11634,9954.140880178786,0.0,0.0,12439.402613030772,0.0,0.0,0.0,1737.6291043493209,0.0
172581,vl,2143,0.0,0.0,2.0391973868408773,0.0,0.0,0.0,0.0,0.0,0.0
164393,vs,4470,50.128635346756155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57902,cj,8704,5252.219784007353,590.2255284926471,464.84524356617646,610.7940027573529,0.0,431.61534926470586,0.0,62.80905330882353,0.0
16944,ag,2702,0.0,0.0,26.491857883049594,0.0,0.0,4869.084752035529,0.0,0.0,0.0
156213,tm,5658,7427.15906680806,0.0,18.893425238600212,0.0,0.0,0.0,0.0,0.0,0.0
33337,bn,2520,0.0,0.0,152.77619047619046,0.0,0.0,0.0,0.0,0.0,0.0
25148,bc,4675,17.66245989304813,0.0,0.0,0.0,0.0,26.542032085561498,0.0,42.6248128342246,0.0
41541,bv,2112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
107083,mm,1324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.85271903323263,0.0
74322,dj,3059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.855508336057535
33364,bn,3499,0.0,0.0,5305.846241783367,0.0,0.0,0.0,0.0,0.0,0.0
123479,nt,8631,38.92051905920519,0.0,420.1371799328004,0.0,0.0,0.0,0.0,10.290812188622407,0.0
57948,cj,2318,0.0,76.63201035375323,150.37963761863676,0.0,0.0,0.0,0.0,0.0,0.0
156259,tm,4861,83.29602962353425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90725,hd,1330,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98916,is,5428,17.937361827560796,0.0,26.36238025055269,0.0,0.0,0.0,0.0,0.0,0.0
33382,bn,5368,0.0,0.0,445.6309612518629,0.0,0.0,0.0,0.0,214.8880402384501,0.0
49769,bz,4365,2.87766323024055,6267.108591065292,3.2730813287514318,50.289117983963344,0.0,0.0,0.0,0.0,0.0
66152,db,4186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41578,bv,2218,0.0,0.0,40.63931469792606,0.0,0.0,0.0,0.0,0.0,0.0
115307,ms,3739,328.2974057234555,0.0,0.0,0.0,0.0,0.0,0.0,63.6210216635464,0.0
139884,sj,17420,327.8673363949483,2420.8436854190586,156.20746268656717,0.0,0.0,0.0,0.0,1667.3968427095292,231.83019517795637
107118,mm,1875,0.0,0.0,420.8912,2628.4186666666665,0.0,0.0,0.0,0.0,0.0
74359,dj,1556,812.2660668380463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
156277,tm,3097,158.63093316112366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,379.815628027123
8826,ab,5475,318.41625570776256,879.9494063926941,887.9156164383562,0.0,0.0,0.0,0.0,40.880913242009136,0.0
82555,gj,4239,27.907997169143666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
123521,nt,9054,0.0,23.42312789927104,73.9662027833002,0.0,0.0,0.0,0.0,0.0,0.0
148097,sv,3837,482.63539223351574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25228,bc,5422,7.240870527480634,41.074142382884546,45.85983032091479,0.0,0.0,1.0787532275912948,0.0,77.75138325341203,0.0
107154,mm,2427,12.128141738772147,0.0,128.96209311907705,0.0,0.0,0.0,0.0,0.0,0.0
41621,bv,3369,39013.401306025524,0.0,620.3849807064411,0.0,0.0,0.0,0.0,36.42742653606411,0.0
156311,tm,2245,1069.68285077951,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66198,db,8783,362.03165205510646,0.0,0.0,0.0,0.0,0.0,0.0,1103.3226687919846,0.0
58008,cj,4063,93.07211420132907,28.87152350479941,121.13955205513167,0.0,0.0,0.0,0.0,0.0,0.0
172698,vl,2521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17049,ag,4686,2.0495091762697397,0.0,1251.2473324797268,0.0,0.0,0.0,0.0,0.0,0.0
33435,bn,6254,319.933002878158,0.25583626479053406,430.6565398145187,0.0,0.0,0.0,0.0,522.5436520626799,17.361208826351135
148131,sv,2913,913.5423961551664,0.0,7411.8118777892205,0.0,0.0,0.0,0.0,69.53415722622725,0.0
139937,sj,1416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74411,dj,2312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66223,db,2205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90805,hd,1290,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98998,is,7666,19.151578398121575,140.28463344638664,0.0,0.0,0.0,0.0,0.0,0.0,0.0
107190,mm,1409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82617,gj,8117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49849,bz,4536,455.11221340388005,0.0,76.02138447971781,0.0,0.0,0.0,0.0,0.0,0.0
115389,ms,6571,92.11429006239537,0.0,307.85846903058894,0.0,0.0,0.0,0.0,0.0,0.0
164543,vs,2777,44.85992077781779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41667,bv,9620,51.184511434511435,83.54864864864865,4577.131392931393,0.6237006237006237,0.0,9166.639604989605,689.9800415800415,0.04948024948024948,0.0
156357,tm,5373,50.40238228177927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25291,bc,3087,0.0,0.0,418.3764172335601,0.0,0.0,0.0,0.0,0.0,0.0
139982,sj,2147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17101,ag,4643,0.0,52.03769114796468,60.845358604350636,0.0,0.0,0.0,0.0,190.23066982554383,0.0
123601,nt,5504,53.19331395348837,39.99818313953488,680.0050872093024,0.0,0.0,0.0,0.0,1098.5828488372092,3140.4578488372094
107234,mm,1052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41701,bv,3500,122.54571428571428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49894,bz,3156,10.747782002534855,0.0,0.0,0.0,0.0,58.711343472750315,0.0,0.0,0.0
148202,sv,3071,59306.33734939759,0.0,4566.989579941387,0.0,0.0,0.0,0.0,0.0,0.0
33514,bn,2947,0.0,0.0,189.2880895826264,0.0,0.0,0.0,0.0,0.0,0.0
131817,ph,13628,23792.875110067507,443.8752568241855,9.58665981802172,0.0,0.0,498.27729674200174,0.0,168.48899324919284,0.0
99058,is,4592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
164598,vs,3350,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82680,gj,5651,3.4055919306317466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
131835,ph,6081,2.7671435619141587,0.0,44.411445485939815,0.0,0.0,0.0,0.0,0.0,0.0
90878,hd,3236,0.0,0.0,17.61186650185414,0.0,0.0,0.0,0.0,0.0,0.0
33541,bn,5101,644.1723191531072,0.0,563.4773573809057,0.0,0.0,1990.6630072534797,0.0,18.007057439717702,0.0
107270,mm,4357,0.0,0.0,1057.0378700941014,0.0,0.0,0.0,0.0,0.0,0.0
41738,bv,3248,0.0,0.08682266009852217,0.0,0.0,0.0,0.0,0.0,8.683189655172415,0.0
74509,dj,2888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.90512465373961,0.0
172812,vl,935,156.05882352941177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25362,bc,2308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
156437,tm,5464,28.167825768667644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66330,db,4560,0.0,64.26118421052631,383.093201754386,0.0,0.0,0.0,0.0,0.0,0.0
123674,nt,5787,24.604112666321065,0.0,12.634871263176084,0.0,0.0,0.0,0.0,0.0,0.0
99101,is,4381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,212.73339420223692,0.0
58142,cj,4362,782.1604768454837,0.0,8.93833104080697,0.0,0.0,0.0,0.0,388.23475469967906,0.0
